Date,Price
29-12-2017,2860.941509
31-01-2018,2989.165414
28-02-2018,3025.008826
30-03-2018,3040.219944
30-04-2018,3093.989908
31-05-2018,3104.711617
29-06-2018,3064.890827
31-07-2018,3002.625097
31-08-2018,2950.029838
28-09-2018,3052.793471
31-10-2018,3155.440142
30-11-2018,3094.484044
31-12-2018,3119.806339
31-01-2019,3225.582903
28-02-2019,3316.685649
29-03-2019,3189.738172
30-04-2019,3149.86865
31-05-2019,3162.743706
28-06-2019,3328.189488
31-07-2019,3427.557932
30-08-2019,3759.307081
30-09-2019,3804.978663
31-10-2019,3746.351086
29-11-2019,3706.26101
31-12-2019,3704.791284
31-01-2020,3924.58449
28-02-2020,4028.273994
31-03-2020,4182.518746
30-04-2020,4522.639126
29-05-2020,4580.651433
30-06-2020,4628.437278
31-07-2020,4874.176261
31-08-2020,5186.027076
30-09-2020,4984.19061
30-10-2020,4925.715984
30-11-2020,4882.848378
31-12-2020,4822.395086
29-01-2021,4814.221884
26-02-2021,4642.647719
31-03-2021,4412.343315
30-04-2021,4633.73905
31-05-2021,4784.72129
30-06-2021,4759.513064
30-07-2021,4751.36928
31-08-2021,4668.087952
30-09-2021,4613.220134
29-10-2021,4699.733953
30-11-2021,4782.726122
